date,SmallCopepods
2001_01_15,325.2
2001_02_15,324.9
2001_03_15,328.9
2001_04_15,486.1
2001_05_15,4312.8
2001_06_15,7961.5
2001_07_15,9102.5
2001_08_15,6007.4
2001_09_15,1510.3
2001_10_15,1804.4
2001_11_15,1108.6
2001_12_15,778.2
2002_01_15,751.9
2002_02_15,671
2002_03_15,1432.7
2002_04_15,1252.1
2002_05_15,1352.2
2002_06_15,2546.8
2002_07_15,3822.1
2002_08_15,3834.9
2002_09_15,598.1
2002_10_15,249.1
2002_11_15,538.6
2002_12_15,933.4
2003_01_15,373.5
2003_02_15,720.8
2003_03_15,480.5
2003_04_15,1388.9
2003_05_15,754.3
2003_06_15,5957.8
2003_07_15,2428.2
2003_08_15,2794.1
2003_09_15,687.7
2003_10_15,350.8
2003_11_15,133.7
2003_12_15,36.5
2004_01_15,1175.5
2004_02_15,655
2004_03_15,581.5384615
2004_04_15,587
2004_05_15,1533.75
2004_06_15,10075.92308
2004_07_15,3590.615385
2004_08_15,10179
2004_09_15,1525.916667
2004_10_15,813.5
2004_11_15,814.6923077
2004_12_15,383.1818182
2005_01_15,414.6
2005_02_15,571.7
2005_03_15,359.5
2005_04_15,1120.2
2005_05_15,3629.6
2005_06_15,3688.2
2005_07_15,1886.5
2005_08_15,1958.2
2005_09_15,1031.2
2005_10_15,203.2
2005_11_15,180.5
2005_12_15,418.6
2006_01_15,279.8
2006_02_15,284.1
2006_03_15,263.9
2006_04_15,1264.4
2006_05_15,1223.3
2006_06_15,467.8
2006_07_15,1808.4
2006_08_15,3409.5
2006_09_15,588.3
2006_10_15,194.2
2006_11_15,96.5
2006_12_15,472.7
