date, Copepod Biomass (mg/m3) at C2
1962_11_15,
1962_12_15,
1963_01_15,
1963_02_15,
1963_03_15,
1963_04_15,
1963_05_15,
1963_06_15,3.0034
1963_07_15,
1963_08_15,
1963_09_15,
1963_10_15,
1963_11_15,
1963_12_15,
1964_01_15,
1964_02_15,
1964_03_15,
1964_04_15,
1964_05_15,
1964_06_15,3.0983
1964_07_15,
1964_08_15,
1964_09_15,
1964_10_15,
1964_11_15,
1964_12_15,
1965_01_15,
1965_02_15,
1965_03_15,
1965_04_15,
1965_05_15,
1965_06_15,2.8116
1965_07_15,
1965_08_15,
1965_09_15,
1965_10_15,
1965_11_15,
1965_12_15,
1966_01_15,
1966_02_15,
1966_03_15,
1966_04_15,
1966_05_15,
1966_06_15,3.0793
1966_07_15,
1966_08_15,
1966_09_15,
1966_10_15,
1966_11_15,
1966_12_15,
1967_01_15,
1967_02_15,
1967_03_15,
1967_04_15,
1967_05_15,
1967_06_15,2.9163
1967_07_15,
1967_08_15,
1967_09_15,
1967_10_15,
1967_11_15,
1967_12_15,
1968_01_15,
1968_02_15,
1968_03_15,
1968_04_15,
1968_05_15,
1968_06_15,2.7489
1968_07_15,
1968_08_15,
1968_09_15,
1968_10_15,
1968_11_15,
1968_12_15,
1969_01_15,
1969_02_15,
1969_03_15,
1969_04_15,
1969_05_15,
1969_06_15,2.7555
1969_07_15,
1969_08_15,
1969_09_15,
1969_10_15,
1969_11_15,
1969_12_15,
1970_01_15,
1970_02_15,
1970_03_15,
1970_04_15,
1970_05_15,
1970_06_15,2.7588
1970_07_15,
1970_08_15,
1970_09_15,
1970_10_15,
1970_11_15,
1970_12_15,
1971_01_15,
1971_02_15,
1971_03_15,
1971_04_15,
1971_05_15,
1971_06_15,2.8053
1971_07_15,
1971_08_15,
1971_09_15,
1971_10_15,
1971_11_15,
1971_12_15,
1972_01_15,
1972_02_15,
1972_03_15,
1972_04_15,
1972_05_15,
1972_06_15,2.566
1972_07_15,
1972_08_15,
1972_09_15,
1972_10_15,
1972_11_15,
1972_12_15,
1973_01_15,
1973_02_15,
1973_03_15,
1973_04_15,
1973_05_15,
1973_06_15,2.7642
1973_07_15,
1973_08_15,
1973_09_15,
1973_10_15,
1973_11_15,
1973_12_15,
1974_01_15,
1974_02_15,
1974_03_15,
1974_04_15,
1974_05_15,
1974_06_15,2.7781
1974_07_15,
1974_08_15,
1974_09_15,
1974_10_15,
1974_11_15,
1974_12_15,
1975_01_15,
1975_02_15,
1975_03_15,
1975_04_15,
1975_05_15,
1975_06_15,2.7666
1975_07_15,
1975_08_15,
1975_09_15,
1975_10_15,
1975_11_15,
1975_12_15,
1976_01_15,
1976_02_15,
1976_03_15,
1976_04_15,
1976_05_15,
1976_06_15,2.9211
1976_07_15,
1976_08_15,
1976_09_15,
1976_10_15,
1976_11_15,
1976_12_15,
1977_01_15,
1977_02_15,
1977_03_15,
1977_04_15,
1977_05_15,
1977_06_15,2.9179
1977_07_15,
1977_08_15,
1977_09_15,
1977_10_15,
1977_11_15,
1977_12_15,
1978_01_15,
1978_02_15,
1978_03_15,
1978_04_15,
1978_05_15,
1978_06_15,2.4981
1978_07_15,
1978_08_15,
1978_09_15,
1978_10_15,
1978_11_15,
1978_12_15,
1979_01_15,
1979_02_15,
1979_03_15,
1979_04_15,
1979_05_15,
1979_06_15,2.6685
1979_07_15,
1979_08_15,
1979_09_15,
1979_10_15,
1979_11_15,
1979_12_15,
1980_01_15,
1980_02_15,
1980_03_15,
1980_04_15,
1980_05_15,
1980_06_15,2.4047
1980_07_15,
1980_08_15,
1980_09_15,
1980_10_15,
1980_11_15,
1980_12_15,
1981_01_15,
1981_02_15,
1981_03_15,
1981_04_15,
1981_05_15,
1981_06_15,2.3522
1981_07_15,
1981_08_15,
1981_09_15,
1981_10_15,
1981_11_15,
1981_12_15,
1982_01_15,
1982_02_15,
1982_03_15,
1982_04_15,
1982_05_15,
1982_06_15,2.6769
1982_07_15,
1982_08_15,
1982_09_15,
1982_10_15,
1982_11_15,
1982_12_15,
1983_01_15,
1983_02_15,
1983_03_15,
1983_04_15,
1983_05_15,
1983_06_15,2.8443
1983_07_15,
1983_08_15,
1983_09_15,
1983_10_15,
1983_11_15,
1983_12_15,
1984_01_15,
1984_02_15,
1984_03_15,
1984_04_15,
1984_05_15,
1984_06_15,2.6668
1984_07_15,
1984_08_15,
1984_09_15,
1984_10_15,
1984_11_15,
1984_12_15,
1985_01_15,
1985_02_15,
1985_03_15,
1985_04_15,
1985_05_15,
1985_06_15,2.811
1985_07_15,
1985_08_15,
1985_09_15,
1985_10_15,
1985_11_15,
1985_12_15,
1986_01_15,
1986_02_15,
1986_03_15,
1986_04_15,
1986_05_15,
1986_06_15,2.6681
1986_07_15,
1986_08_15,
1986_09_15,
1986_10_15,
1986_11_15,
1986_12_15,
1987_01_15,
1987_02_15,
1987_03_15,
1987_04_15,
1987_05_15,
1987_06_15,2.7529
1987_07_15,
1987_08_15,
1987_09_15,
1987_10_15,
1987_11_15,
1987_12_15,
1988_01_15,
1988_02_15,
1988_03_15,
1988_04_15,
1988_05_15,
1988_06_15,2.4843
1988_07_15,
1988_08_15,
1988_09_15,
1988_10_15,
1988_11_15,
1988_12_15,
1989_01_15,
1989_02_15,
1989_03_15,
1989_04_15,
1989_05_15,
1989_06_15,2.6727
1989_07_15,
1989_08_15,
1989_09_15,
1989_10_15,
1989_11_15,
1989_12_15,
1990_01_15,
1990_02_15,
1990_03_15,
1990_04_15,
1990_05_15,
1990_06_15,2.7493
1990_07_15,
1990_08_15,
1990_09_15,
1990_10_15,
1990_11_15,
1990_12_15,
1991_01_15,
1991_02_15,
1991_03_15,
1991_04_15,
1991_05_15,
1991_06_15,2.4859
1991_07_15,
1991_08_15,
1991_09_15,
1991_10_15,
1991_11_15,
1991_12_15,
1992_01_15,
1992_02_15,
1992_03_15,
1992_04_15,
1992_05_15,
1992_06_15,2.7838
1992_07_15,
1992_08_15,
1992_09_15,
1992_10_15,
1992_11_15,
1992_12_15,
1993_01_15,
1993_02_15,
1993_03_15,
1993_04_15,
1993_05_15,
1993_06_15,2.551
1993_07_15,
1993_08_15,
1993_09_15,
1993_10_15,
1993_11_15,
1993_12_15,
1994_01_15,
1994_02_15,
1994_03_15,
1994_04_15,
1994_05_15,
1994_06_15,2.6046
1994_07_15,
1994_08_15,
1994_09_15,
1994_10_15,
1994_11_15,
1994_12_15,
1995_01_15,
1995_02_15,
1995_03_15,
1995_04_15,
1995_05_15,
1995_06_15,2.642
1995_07_15,
1995_08_15,
1995_09_15,
1995_10_15,
1995_11_15,
1995_12_15,
1996_01_15,
1996_02_15,
1996_03_15,
1996_04_15,
1996_05_15,
1996_06_15,2.4481
1996_07_15,
1996_08_15,
1996_09_15,
1996_10_15,
1996_11_15,
1996_12_15,
1997_01_15,
1997_02_15,
1997_03_15,
1997_04_15,
1997_05_15,
1997_06_15,2.4173
1997_07_15,
1997_08_15,
1997_09_15,
1997_10_15,
1997_11_15,
1997_12_15,
1998_01_15,
1998_02_15,
1998_03_15,
1998_04_15,
1998_05_15,
1998_06_15,2.414
1998_07_15,
1998_08_15,
1998_09_15,
1998_10_15,
1998_11_15,
1998_12_15,
1999_01_15,
1999_02_15,
1999_03_15,
1999_04_15,
1999_05_15,
1999_06_15,2.4251
1999_07_15,
1999_08_15,
1999_09_15,
1999_10_15,
1999_11_15,
1999_12_15,
2000_01_15,
2000_02_15,
2000_03_15,
2000_04_15,
2000_05_15,
2000_06_15,2.5791
2000_07_15,
2000_08_15,
2000_09_15,
2000_10_15,
2000_11_15,
2000_12_15,
2001_01_15,
2001_02_15,
2001_03_15,
2001_04_15,
2001_05_15,
2001_06_15,2.5505
2001_07_15,
2001_08_15,
2001_09_15,
2001_10_15,
2001_11_15,
2001_12_15,
2002_01_15,
2002_02_15,
2002_03_15,
2002_04_15,
2002_05_15,
2002_06_15,2.6193
2002_07_15,
2002_08_15,
2002_09_15,
2002_10_15,
2002_11_15,
2002_12_15,
2003_01_15,
2003_02_15,
2003_03_15,
2003_04_15
2003_05_15
2003_06_15
2003_07_15
2003_08_15
2003_09_15
2003_10_15
2003_11_15
2003_12_15
2004_01_15
2004_02_15
2004_03_15
2004_04_15
2004_05_15
2004_06_15
2004_07_15
2004_08_15
2004_09_15
2004_10_15
2004_11_15
2004_12_15
2005_01_15
2005_02_15
2005_03_15
2005_04_15
2005_05_15
2005_06_15
2005_07_15
2005_08_15
2005_09_15
2005_10_15
2005_11_15
2005_12_15
2006_01_15
2006_02_15
2006_03_15
2006_04_15
2006_05_15
2006_06_15
2006_07_15
2006_08_15
2006_09_15
2006_10_15
2006_11_15
2006_12_15
2007_01_15
2007_02_15
2007_03_15
2007_04_15
2007_05_15
2007_06_15
2007_07_15
2007_08_15
2007_09_15
2007_10_15
2007_11_15
2007_12_15
